Дата;Время;ОРУ;Напряжение;Оборудование;Тип оборудования;Параметр;Значение;Норма;Статус;Комментарии
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;2;0,5 - 1;⚠️ Не норма;
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;2;0,5 - 1;⚠️ Не норма;
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;2;0,5 - 1;⚠️ Не норма;
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;2;0,5 - 1;⚠️ Не норма;
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;2;0,5 - 1;⚠️ Не норма;
27.08.2025;21:29;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.А;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.В;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.С;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;21:29;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.А;;;⚪ Не проверено;
